interval_start_utc,display_local,utc_offset_min,temp_c,feels_like_c,rel_humidity_pct,wind_speed_ms,wind_dir_deg,precip_mm,precip_prob_pct,precip_type,condition
2025-09-04T10:00:00Z,2025-09-04T14:00:00+04:00,240,,,35,0.8333333333333333,0,0.0203,5,RAIN,Partly sunny
2025-09-04T11:00:00Z,2025-09-04T15:00:00+04:00,240,,,33,1.3888888888888888,0,0.0203,10,RAIN,Mostly cloudy
2025-09-04T12:00:00Z,2025-09-04T16:00:00+04:00,240,,,33,1.3888888888888888,0,0.0203,10,RAIN,Mostly cloudy
2025-09-04T13:00:00Z,2025-09-04T17:00:00+04:00,240,,,35,1.6666666666666665,338,0.0203,10,RAIN,Mostly cloudy
2025-09-04T14:00:00Z,2025-09-04T18:00:00+04:00,240,,,40,2.2222222222222223,338,0.0381,10,RAIN,Mostly cloudy
2025-09-04T15:00:00Z,2025-09-04T19:00:00+04:00,240,,,45,2.7777777777777777,338,0.0203,10,RAIN,Mostly cloudy
2025-09-04T16:00:00Z,2025-09-04T20:00:00+04:00,240,,,53,2.7777777777777777,338,0,10,RAIN,Mostly cloudy
2025-09-04T17:00:00Z,2025-09-04T21:00:00+04:00,240,,,57,2.7777777777777777,315,0,10,RAIN,Mostly cloudy
2025-09-04T18:00:00Z,2025-09-04T22:00:00+04:00,240,,,62,2.7777777777777777,315,0,10,RAIN,Mostly cloudy
2025-09-04T19:00:00Z,2025-09-04T23:00:00+04:00,240,,,63,2.7777777777777777,315,0,10,RAIN,Mostly cloudy
2025-09-04T20:00:00Z,2025-09-05T00:00:00+04:00,240,,,63,2.7777777777777777,315,0,10,RAIN,Mostly cloudy
2025-09-04T21:00:00Z,2025-09-05T01:00:00+04:00,240,,,67,2.7777777777777777,315,0,10,RAIN,Mostly cloudy
2025-09-04T22:00:00Z,2025-09-05T02:00:00+04:00,240,,,70,2.2222222222222223,315,0,10,RAIN,Mostly cloudy
2025-09-04T23:00:00Z,2025-09-05T03:00:00+04:00,240,,,72,1.6666666666666665,338,0,10,RAIN,Mostly cloudy
2025-09-05T00:00:00Z,2025-09-05T04:00:00+04:00,240,,,72,1.6666666666666665,315,0,10,RAIN,Mostly cloudy
2025-09-05T01:00:00Z,2025-09-05T05:00:00+04:00,240,,,74,1.3888888888888888,315,0,10,RAIN,Mostly cloudy
2025-09-05T02:00:00Z,2025-09-05T06:00:00+04:00,240,,,75,0.8333333333333333,315,0,10,RAIN,Mostly cloudy
2025-09-05T03:00:00Z,2025-09-05T07:00:00+04:00,240,,,75,0.8333333333333333,315,0.32,35,RAIN,Light rain
2025-09-05T04:00:00Z,2025-09-05T08:00:00+04:00,240,,,70,0.8333333333333333,270,1.1532,65,RAIN,Rain showers
2025-09-05T05:00:00Z,2025-09-05T09:00:00+04:00,240,,,65,0.8333333333333333,180,1.4757,70,RAIN,Rain showers
2025-09-05T06:00:00Z,2025-09-05T10:00:00+04:00,240,,,61,1.3888888888888888,158,1.1532,65,RAIN,Rain showers
2025-09-05T07:00:00Z,2025-09-05T11:00:00+04:00,240,,,55,1.6666666666666665,158,0.348,35,RAIN,Light rain
