city,interval_start_utc,interval_end_utc,local_time,temperature_c,relative_humidity_pct,cloud_cover_pct,precip_mm_per_hr,precip_probability_pct,precip_type,wind_speed_m_s,wind_dir_deg,is_daytime,condition_type,condition_text
batumi,2025-08-17T12:00:00Z,2025-08-17T13:00:00Z,2025-08-17T16:00:00+04:00,25.3,70,9,0.0,0,RAIN,2.22,270,True,CLEAR,Sunny
batumi,2025-08-17T13:00:00Z,2025-08-17T14:00:00Z,2025-08-17T17:00:00+04:00,25,74,15,0.0,0,RAIN,2.22,255,True,CLEAR,Sunny
batumi,2025-08-17T14:00:00Z,2025-08-17T15:00:00Z,2025-08-17T18:00:00+04:00,24.9,73,20,0.0,0,RAIN,2.22,250,True,MOSTLY_CLEAR,Mostly sunny
batumi,2025-08-17T15:00:00Z,2025-08-17T16:00:00Z,2025-08-17T19:00:00+04:00,24.9,76,24,0.0,0,RAIN,1.67,250,True,MOSTLY_CLEAR,Mostly sunny
batumi,2025-08-17T16:00:00Z,2025-08-17T17:00:00Z,2025-08-17T20:00:00+04:00,24.9,74,25,0.0,0,RAIN,1.67,250,True,MOSTLY_CLEAR,Mostly sunny
batumi,2025-08-17T17:00:00Z,2025-08-17T18:00:00Z,2025-08-17T21:00:00+04:00,24.2,76,30,0.0,0,RAIN,1.39,225,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-17T18:00:00Z,2025-08-17T19:00:00Z,2025-08-17T22:00:00+04:00,23.3,78,35,0.0,0,RAIN,1.39,180,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-17T19:00:00Z,2025-08-17T20:00:00Z,2025-08-17T23:00:00+04:00,23.8,72,39,0.0,0,RAIN,1.39,160,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-17T20:00:00Z,2025-08-17T21:00:00Z,2025-08-18T00:00:00+04:00,23.1,77,45,0.0,5,RAIN,2.22,135,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-17T21:00:00Z,2025-08-17T22:00:00Z,2025-08-18T01:00:00+04:00,22.6,81,55,0.0,5,RAIN,2.78,145,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-17T22:00:00Z,2025-08-17T23:00:00Z,2025-08-18T02:00:00+04:00,22.6,79,56,0.0,5,RAIN,2.78,135,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-17T23:00:00Z,2025-08-18T00:00:00Z,2025-08-18T03:00:00+04:00,22.1,84,55,0.0,5,RAIN,2.22,135,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-18T00:00:00Z,2025-08-18T01:00:00Z,2025-08-18T04:00:00+04:00,21.9,84,45,0.0,5,RAIN,2.22,135,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-18T01:00:00Z,2025-08-18T02:00:00Z,2025-08-18T05:00:00+04:00,22.5,78,35,0.0,0,RAIN,1.67,125,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-18T02:00:00Z,2025-08-18T03:00:00Z,2025-08-18T06:00:00+04:00,22.2,81,30,0.0,0,RAIN,1.67,125,False,PARTLY_CLOUDY,Partly cloudy
batumi,2025-08-18T03:00:00Z,2025-08-18T04:00:00Z,2025-08-18T07:00:00+04:00,22.7,77,20,0.0,0,RAIN,1.67,135,True,MOSTLY_CLEAR,Mostly sunny
batumi,2025-08-18T04:00:00Z,2025-08-18T05:00:00Z,2025-08-18T08:00:00+04:00,23,80,15,0.0,0,RAIN,1.39,135,True,CLEAR,Sunny
batumi,2025-08-18T05:00:00Z,2025-08-18T06:00:00Z,2025-08-18T09:00:00+04:00,23.2,80,5,0.0,0,RAIN,0.56,180,True,CLEAR,Sunny
batumi,2025-08-18T06:00:00Z,2025-08-18T07:00:00Z,2025-08-18T10:00:00+04:00,25.2,68,0,0.0,0,RAIN,0.0,270,True,CLEAR,Sunny
batumi,2025-08-18T07:00:00Z,2025-08-18T08:00:00Z,2025-08-18T11:00:00+04:00,26.3,63,0,0.0,0,RAIN,0.83,335,True,CLEAR,Sunny
batumi,2025-08-18T08:00:00Z,2025-08-18T09:00:00Z,2025-08-18T12:00:00+04:00,26.7,67,0,0.0,0,RAIN,1.67,325,True,CLEAR,Sunny
batumi,2025-08-18T09:00:00Z,2025-08-18T10:00:00Z,2025-08-18T13:00:00+04:00,26.4,70,0,0.0,0,RAIN,2.22,325,True,CLEAR,Sunny
batumi,2025-08-18T10:00:00Z,2025-08-18T11:00:00Z,2025-08-18T14:00:00+04:00,26.7,68,0,0.0,0,RAIN,1.39,315,True,CLEAR,Sunny
batumi,2025-08-18T11:00:00Z,2025-08-18T12:00:00Z,2025-08-18T15:00:00+04:00,27.9,62,0,0.0,0,RAIN,1.39,315,True,CLEAR,Sunny
tbilisi,2025-08-17T12:00:00Z,2025-08-17T13:00:00Z,2025-08-17T16:00:00+04:00,26.3,49,83,0.0,10,RAIN,3.61,158,True,MOSTLY_CLOUDY,Mostly cloudy
tbilisi,2025-08-17T13:00:00Z,2025-08-17T14:00:00Z,2025-08-17T17:00:00+04:00,26.9,45,69,0.0,10,RAIN,3.61,158,True,MOSTLY_CLOUDY,Mostly cloudy
tbilisi,2025-08-17T14:00:00Z,2025-08-17T15:00:00Z,2025-08-17T18:00:00+04:00,26.7,45,61,0.0,5,RAIN,3.06,135,True,PARTLY_CLOUDY,Partly sunny
tbilisi,2025-08-17T15:00:00Z,2025-08-17T16:00:00Z,2025-08-17T19:00:00+04:00,25.8,45,55,0.0,5,RAIN,3.06,135,True,PARTLY_CLOUDY,Partly sunny
tbilisi,2025-08-17T16:00:00Z,2025-08-17T17:00:00Z,2025-08-17T20:00:00+04:00,24.4,53,43,0.0,5,RAIN,2.78,135,False,PARTLY_CLOUDY,Partly cloudy
tbilisi,2025-08-17T17:00:00Z,2025-08-17T18:00:00Z,2025-08-17T21:00:00+04:00,23.4,60,43,0.0,5,RAIN,1.67,135,False,PARTLY_CLOUDY,Partly cloudy
tbilisi,2025-08-17T18:00:00Z,2025-08-17T19:00:00Z,2025-08-17T22:00:00+04:00,23.1,60,31,0.0,0,RAIN,1.39,135,False,PARTLY_CLOUDY,Partly cloudy
tbilisi,2025-08-17T19:00:00Z,2025-08-17T20:00:00Z,2025-08-17T23:00:00+04:00,22.5,64,40,0.0,0,RAIN,0.83,135,False,PARTLY_CLOUDY,Partly cloudy
tbilisi,2025-08-17T20:00:00Z,2025-08-17T21:00:00Z,2025-08-18T00:00:00+04:00,21.8,65,50,0.0,5,RAIN,0.83,135,False,PARTLY_CLOUDY,Partly cloudy
