city,interval_start_utc,interval_end_utc,local_time,temperature_c,relative_humidity_pct,cloud_cover_pct,precip_mm_per_hr,precip_probability_pct,precip_type,wind_speed_m_s,wind_dir_deg,is_daytime,condition_type,condition_text
tbilisi,2025-08-18T06:00:00Z,2025-08-18T07:00:00Z,2025-08-18T10:00:00+04:00,23.9,60,34,0.0,0,RAIN,1.39,158,True,PARTLY_CLOUDY,Partly sunny
tbilisi,2025-08-18T07:00:00Z,2025-08-18T08:00:00Z,2025-08-18T11:00:00+04:00,25.1,58,36,0.0,0,RAIN,1.67,158,True,PARTLY_CLOUDY,Partly sunny
tbilisi,2025-08-18T08:00:00Z,2025-08-18T09:00:00Z,2025-08-18T12:00:00+04:00,26.2,57,42,0.0,5,RAIN,1.67,158,True,PARTLY_CLOUDY,Partly sunny
tbilisi,2025-08-18T09:00:00Z,2025-08-18T10:00:00Z,2025-08-18T13:00:00+04:00,28.7,44,59,0.0,5,RAIN,2.22,158,True,PARTLY_CLOUDY,Partly sunny
tbilisi,2025-08-18T10:00:00Z,2025-08-18T11:00:00Z,2025-08-18T14:00:00+04:00,29.7,40,41,0.0,5,RAIN,2.22,180,True,PARTLY_CLOUDY,Partly sunny
tbilisi,2025-08-18T11:00:00Z,2025-08-18T12:00:00Z,2025-08-18T15:00:00+04:00,30.4,40,22,0.0,0,RAIN,1.67,180,True,MOSTLY_CLEAR,Mostly sunny
tbilisi,2025-08-18T12:00:00Z,2025-08-18T13:00:00Z,2025-08-18T16:00:00+04:00,30.7,40,2,0.0,0,RAIN,1.67,203,True,CLEAR,Sunny
tbilisi,2025-08-18T13:00:00Z,2025-08-18T14:00:00Z,2025-08-18T17:00:00+04:00,30.8,40,0,0.0,0,RAIN,1.67,203,True,CLEAR,Sunny
tbilisi,2025-08-18T14:00:00Z,2025-08-18T15:00:00Z,2025-08-18T18:00:00+04:00,30.2,41,0,0.0,0,RAIN,1.67,225,True,CLEAR,Sunny
tbilisi,2025-08-18T15:00:00Z,2025-08-18T16:00:00Z,2025-08-18T19:00:00+04:00,28.9,46,0,0.0,0,RAIN,1.39,225,True,CLEAR,Sunny
tbilisi,2025-08-18T16:00:00Z,2025-08-18T17:00:00Z,2025-08-18T20:00:00+04:00,26.1,55,0,0.0,0,RAIN,1.39,225,False,CLEAR,Clear
tbilisi,2025-08-18T17:00:00Z,2025-08-18T18:00:00Z,2025-08-18T21:00:00+04:00,25.2,60,0,0.0,0,RAIN,0.83,270,False,CLEAR,Clear
tbilisi,2025-08-18T18:00:00Z,2025-08-18T19:00:00Z,2025-08-18T22:00:00+04:00,24.6,61,0,0.0,0,RAIN,0.83,0,False,CLEAR,Clear
tbilisi,2025-08-18T19:00:00Z,2025-08-18T20:00:00Z,2025-08-18T23:00:00+04:00,23.9,60,0,0.0,0,RAIN,1.39,0,False,CLEAR,Clear
tbilisi,2025-08-18T20:00:00Z,2025-08-18T21:00:00Z,2025-08-19T00:00:00+04:00,23.4,66,0,0.0,0,RAIN,1.67,0,False,CLEAR,Clear
tbilisi,2025-08-18T21:00:00Z,2025-08-18T22:00:00Z,2025-08-19T01:00:00+04:00,24.7,58,0,0.0,0,RAIN,2.78,338,False,CLEAR,Clear
tbilisi,2025-08-18T22:00:00Z,2025-08-18T23:00:00Z,2025-08-19T02:00:00+04:00,23.5,63,0,0.0,0,RAIN,2.78,338,False,CLEAR,Clear
tbilisi,2025-08-18T23:00:00Z,2025-08-19T00:00:00Z,2025-08-19T03:00:00+04:00,22.8,68,0,0.0,0,RAIN,2.78,338,False,CLEAR,Clear
tbilisi,2025-08-19T00:00:00Z,2025-08-19T01:00:00Z,2025-08-19T04:00:00+04:00,22,69,0,0.0,0,RAIN,3.06,338,False,CLEAR,Clear
tbilisi,2025-08-19T01:00:00Z,2025-08-19T02:00:00Z,2025-08-19T05:00:00+04:00,21.1,74,0,0.0,0,RAIN,3.06,338,False,CLEAR,Clear
tbilisi,2025-08-19T02:00:00Z,2025-08-19T03:00:00Z,2025-08-19T06:00:00+04:00,20.3,73,0,0.0,0,RAIN,3.06,315,False,CLEAR,Clear
tbilisi,2025-08-19T03:00:00Z,2025-08-19T04:00:00Z,2025-08-19T07:00:00+04:00,20.2,74,0,0.0,0,RAIN,3.06,315,True,CLEAR,Sunny
tbilisi,2025-08-19T04:00:00Z,2025-08-19T05:00:00Z,2025-08-19T08:00:00+04:00,22.1,67,0,0.0,0,RAIN,3.06,315,True,CLEAR,Sunny
tbilisi,2025-08-19T05:00:00Z,2025-08-19T06:00:00Z,2025-08-19T09:00:00+04:00,24.7,57,0,0.0,0,RAIN,3.06,315,True,CLEAR,Sunny
